Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Mean Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PSZ-AC:1:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:2:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:3:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:4:Air System Total Cooling Energy [J](TimeStep),PSZ-AC:5:Air System Total Cooling Energy [J](TimeStep) 
 08/01  15:30:00,35.3,27.02961320948092,27.167342650303337,24.499556263618783,25.648099564199908,26.031056075155168,57.41841066615431,27.044999999999996,27.18200000000001,24.499999999999998,25.659000000000014,26.05,0.0,3197106.4577835577,2714081.9773004397,1053491.803695458,3749346.3109878718,2311540.0184044425 
 08/01  15:45:00,35.45,27.153214462047037,27.287296544606549,23.9887317982654,25.398141408506367,25.68214525422491,56.04701017603912,27.162,27.29600000000001,23.980999999999999,25.381000000000019,25.656999999999998,0.0,3355198.4780226808,2821732.0426369186,1687256.5435509836,4541890.554249579,3066480.8653298534 
 08/01  16:00:00,35.6,27.219603067628154,26.927983853210436,23.449366944866275,25.097089244477546,25.25300610729372,55.20110136274684,27.226999999999998,26.887000000000009,23.435,25.066000000000014,25.206999999999998,0.0,3407149.1772654468,3644315.83629698,2321387.7559124699,5196589.470863215,3738555.587695312 
 08/01  16:15:00,35.300000000000007,27.259569770909267,26.92727192520899,23.022376104071303,24.833710781035845,24.86996381309937,54.0127209980436,27.263999999999997,26.927000000000008,23.011,24.807000000000014,24.83,0.0,3469473.330861103,3447792.126187405,2753808.980445269,5599618.9791027349,4214301.812104569 
 08/01  16:30:00,35.0,27.282466491473,26.60666752214394,22.72379209862749,24.634933299907869,24.573363328601439,52.975696947656377,27.284999999999998,26.572000000000008,22.715999999999999,24.615000000000014,24.543,0.0,3506808.948314829,4164240.2512927248,3028780.5636186145,5852644.113371314,4556336.2731493 
 08/01  16:45:00,34.699999999999999,27.294654371679916,26.684975964602417,22.52776071794579,24.495857547343268,24.357762935884347,51.8755442695692,27.295999999999997,26.693000000000006,22.522999999999997,24.482000000000015,24.336,0.0,3530687.8515257399,3736902.145864879,3163051.0187608019,5968868.694830408,4776917.988832409 
 08/01  17:00:00,34.4,27.301271207287088,26.86780206452512,22.460006841516745,24.40320467572785,24.206128429036565,50.68206990170317,27.301999999999997,26.887000000000005,22.458999999999997,24.394000000000014,24.191,0.0,3540229.819236726,3383982.244053461,3125619.187123784,5988564.178427214,4902927.969024518 
 08/01  17:15:00,34.0,26.81062337918614,26.605305759428309,22.38565709192894,24.341052465172554,24.097969162535337,49.61176604670881,26.776,26.587000000000005,22.384999999999999,24.337000000000019,24.091,0.0,4512957.734483685,4018259.3669367639,3100984.125216653,5927255.984229401,4964583.625549059 
 08/01  17:30:00,33.599999999999997,26.284504724016757,26.26795932358999,22.328346439886567,24.303491296289928,24.02754305950409,48.03467287758063,26.249,26.245000000000009,22.327999999999997,24.301000000000014,24.023,0.0,5220076.1437284019,4526275.472872976,3047534.5938407338,5818170.4132928,4960795.53727626 
 08/01  17:45:00,33.199999999999999,26.361610858961546,25.976706732544529,22.288926893401557,24.280125568230607,23.98011968273404,46.76981812295128,26.364999999999989,25.963,22.28899999999999,24.27900000000001,23.977999999999996,0.0,4539212.385202373,4847899.278672732,2981962.5925738548,5716656.021564799,4910927.097653776 
 08/01  18:00:00,32.8,26.593426497124253,26.22259814700121,22.26477421403671,24.266689146160773,23.949399540238589,44.899071504081387,26.603999999999993,26.234,22.264999999999995,24.26600000000001,23.947999999999995,0.0,3916544.523454265,3906016.0903019548,2889445.1775291359,5602149.284941903,4822274.380769955 
 08/01  18:15:00,32.599999999999997,26.305979463369249,26.098446118469544,22.250692564055716,24.25933724557542,23.92968293537449,43.470215684282127,26.295999999999994,26.094,22.25099999999999,24.259000000000009,23.928999999999996,0.0,4738813.341264177,4238794.021508887,2821287.669717861,5545694.993457744,4760184.874364523 
 08/01  18:30:00,32.4,27.835678989444167,27.73785481293701,24.314407531048066,26.38552482807038,26.880053386907059,41.48206148831616,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,0.0,0.0,0.0,0.0,0.0 
 08/01  18:45:00,32.2,29.102338344688797,29.079727315746884,25.549889026533405,28.089306487682987,28.960801874010686,39.74688796258414,29.440000000000045,29.440000000000045,29.440000000000045,29.440000000000045,29.440000000000045,0.0,0.0,40351.49251176394,0.0,0.0,109184.90162119002 
 08/01  19:00:00,32.0,29.341415364245248,29.342109605139627,25.751706198913923,28.52151655312614,29.332312413111283,38.44571622199589,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,195766.81182335854,197510.30498527894,0.0,0.0,276004.6535128559 
 08/01  19:15:00,31.75,29.435858465866916,29.435627316193889,26.09696306023652,28.968986653229825,29.434878270706123,36.536983544839099,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,669876.5113587295,566776.4044272374,0.0,0.0,533205.722126714 
 08/01  19:30:00,31.5,29.43988768205161,29.439867960227159,26.252771724437847,29.18017347373695,29.439843197692004,34.9535377239736,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,866554.5317367867,689482.9500158449,0.0,0.0,563945.8625442804 
 08/01  19:45:00,31.25,29.44004870986884,29.440044639820756,26.31101555194819,29.274846384784867,29.44006526549952,34.07008492710325,29.440000000000006,29.440000000000006,29.440000000000006,29.440000000000006,29.440000000000006,0.0,979069.9645261598,754650.8395818741,0.0,0.0,598028.4906103966 
 08/01  20:00:00,31.0,29.440063006882924,29.4400618654474,26.409044452088918,29.38784855097444,29.4400863239757,32.53604107407621,29.440000000000006,29.440000000000006,29.440000000000006,29.440000000000006,29.440000000000006,0.0,1064189.894068122,796705.1957950218,0.0,0.0,623756.6607180294 
 08/01  20:15:00,30.6,29.440066964066419,29.440064405584566,26.463957220150534,29.436729165279883,29.440088581531847,31.490131709200708,29.440000000000006,29.440000000000006,29.440000000000006,29.440000000000006,29.440000000000006,0.0,1117883.4658718457,803510.9428616525,0.0,72607.16409653775,628075.1901557922 
 08/01  20:30:00,30.2,29.440089319381426,29.44008015450555,26.481935728887828,29.43951788404619,29.440109080858528,30.946705488527546,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1150760.7700120477,798339.1276177799,0.0,134847.58809445345,618266.5931823057 
 08/01  20:45:00,29.799999999999998,29.440108433988529,29.440099955727257,26.515844156094717,29.43998959124295,29.44013311791338,29.95393280024252,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1175476.422867002,788706.9489212564,0.0,174141.86025513654,605921.8889540901 
 08/01  21:00:00,29.4,29.44011443772692,29.44010456692746,26.533865513351637,29.440065509208993,29.440137723338695,29.254006600434225,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1192736.2307065188,774742.8533250743,0.0,189995.10372951069,591480.584253428 
 08/01  21:15:00,28.849999999999999,29.44011240537138,29.440101378678898,26.55241516688519,29.440072488468318,29.440133223923227,28.608213383441649,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1185691.0530185588,739987.0182704831,0.0,181309.21618329799,566371.9079791097 
 08/01  21:30:00,28.299999999999998,29.440108725134566,29.4400971872919,26.57176256109466,29.440070006680963,29.44012806772763,27.973245101002175,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1172254.842329984,697329.2352922434,0.0,159095.6587107836,538347.6620486431 
 08/01  21:45:00,27.75,29.440104344278184,29.44009218909902,26.583922489342485,29.44006521986796,29.440122964748,27.354310178493049,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1153418.0934246844,648095.8437199593,0.0,126016.711662799,510320.12578182268 
 08/01  22:00:00,27.2,29.440099525682645,29.44008656281718,26.589086158467006,29.440059365846879,29.440115291573585,26.74300223842913,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1129960.6500892009,594248.9112664857,0.0,83429.44935575016,474475.17264294638 
 08/01  22:15:00,26.924999999999998,29.4401067802734,29.440079525389053,26.58891059692248,29.440024062308568,29.440108353627794,26.394214773134509,29.44,29.44,29.44,29.44,29.44,0.0,1127860.5720326405,568467.373511261,0.0,71512.84226305099,454002.2024056234 
 08/01  22:30:00,26.65,29.440115122631583,29.440095014925796,26.590331469471545,29.440059347615759,29.440127140047509,25.64888051250659,29.44,29.44,29.44,29.44,29.44,0.0,1123822.6681992673,543487.5848657989,0.0,57037.71152563387,433509.7146988906 
 08/01  22:45:00,26.375000000000005,29.440079431487584,29.440056163703458,26.589012000233838,29.44001286571228,29.440076873376886,25.292805005824819,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1117733.544422567,517697.06153497987,0.0,40230.912803748,413092.8694095664 
 08/01  23:00:00,26.1,29.440089124247146,29.44005878740944,26.58655976314435,29.44000558193734,29.440080298727876,24.856428636459307,29.44,29.44,29.44,29.44,29.44,0.0,1107645.4811138288,489579.13028111847,0.0,20616.815272925116,391301.091757685 
 08/01  23:15:00,26.1,29.44007257880522,29.44004626759319,26.58659256631305,29.440002679622503,29.440062929745105,24.354511050953755,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,29.439999999999999,0.0,1126904.3718751339,479002.50251619415,0.0,20239.13921671101,378982.52099437967 
 08/01  23:30:00,26.1,29.440088372865334,29.440054334934204,26.586038966919447,29.440002594170055,29.440072666673318,23.992226710696877,29.44,29.44,29.44,29.44,29.44,0.0,1144718.3293820467,469271.589447408,0.0,18288.17321603166,366689.4654621235 
 08/01  23:45:00,26.1,29.440098145230658,29.44007359709097,26.584331899059284,29.440039495844379,29.4400984672494,23.433610963432139,29.44,29.44,29.44,29.44,29.44,0.0,1163122.6651441598,459561.53794390687,0.0,14324.625121097703,356084.3810306869 
 08/01  24:00:00,26.1,29.440100903851215,29.440079208669986,26.58230059462737,29.440050453507657,29.44010593223536,23.182129443398766,29.44,29.44,29.44,29.44,29.44,0.0,1181716.8717447827,450692.9091155144,0.0,12365.661511406259,347963.833169857 
 08/02  00:15:00,25.825000000000004,29.440126217249359,29.44008956605255,26.71250175101212,29.440039951628454,29.440111320153535,22.98932339695085,29.44,29.44,29.44,29.44,29.44,0.0,1526956.4093045719,707322.6936488297,0.0,282847.6140310224,488154.9118197403 
 08/02  00:30:00,25.55,29.440136438839614,29.440097007616769,26.816826606255537,29.44004371544926,29.44011799209034,22.78116052732569,29.44,29.44,29.44,29.44,29.44,0.0,1514191.2817622668,687021.0544191392,0.0,272206.82787884227,474726.81334492037 
 08/02  00:45:00,25.275,29.440138201215988,29.440097969374756,26.845005804160466,29.44004401085344,29.440118342893066,22.56998944352401,29.44,29.44,29.44,29.44,29.44,0.0,1501130.5237766638,668221.998383551,0.0,261517.70501005729,463078.844875897 
 08/02  01:00:00,25.0,29.440135937455524,29.440095958524386,26.83944444997423,29.440042771008167,29.44011572924076,22.346313742541925,29.44,29.44,29.44,29.44,29.44,0.0,1487711.2802563485,651456.8456276046,0.0,251876.4650629671,452328.4993314617 
 08/02  01:15:00,25.0,29.44013531704035,29.44009504932771,26.83785861573289,29.440042904500659,29.4401141826086,22.124112380749769,29.44,29.44,29.44,29.44,29.44,0.0,1502949.148433136,652980.6375107423,0.0,261991.79391315624,451213.1528753505 
